model,metric,value,taxon
Salamandra.atra.south_AllData_RUN5_GBM,boyce,0.556,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,boyce,0.47,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,boyce,0.435,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,boyce,0.8,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,boyce,0.546,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,boyce,0.794,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,boyce,0.444,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN3_AllData,boyce,0.722,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,boyce,0.147,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,boyce,0.703,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GLM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN3_AllData,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,mpa,NA,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,mpa,NA,Salamandra_atra_south
